Instance,Terminal,Layer,X location,Y location,Voltage
_096_,VGND,li1,42.0900,32.6400,0.000024
_095_,VGND,li1,42.3200,21.7600,0.000051
_094_,VGND,li1,46.4600,21.7600,0.000053
_093_,VGND,li1,53.8200,21.7600,0.000054
_092_,VGND,li1,45.7700,27.2000,0.000007
_091_,VGND,li1,40.9400,21.7600,0.000051
_090_,VGND,li1,44.1600,21.7600,0.000052
_089_,VGND,li1,41.6300,16.3200,0.000030
_088_,VGND,li1,31.0500,16.3200,0.000022
_087_,VGND,li1,45.7700,16.3200,0.000031
_086_,VGND,li1,27.8300,16.3200,0.000020
_085_,VGND,li1,28.2900,21.7600,0.000034
_084_,VGND,li1,16.5600,21.7600,0.000030
_083_,VGND,li1,16.1000,16.3200,0.000021
_082_,VGND,li1,20.0100,16.3200,0.000020
_081_,VGND,li1,13.8000,16.3200,0.000021
_080_,VGND,li1,14.4900,21.7600,0.000031
_079_,VGND,li1,16.7900,21.7600,0.000030
